,Music,Type,Cover,DTW Distance,Time Shift
0,MyNameIsMud,bass,0,1138.8336548185173,-0.024478008737833564
1,Selfesteem,other,0,701.4606152910444,0.0010666413986869926
2,Lauren,bass,0,1005.935553787768,-0.0007149433802518784
3,Limelight,bass,0,1306.074707679592,0.007061310200376018
4,RUMine,other,0,373.0055427602995,-0.0010168146418935732
5,DontFearTheReaper,bass,0,1014.7914685049573,-0.003379080068143101
6,DanceDance,other,0,248.24939187206314,-0.0025306878025426888
7,santeria,other,0,598.2574025232404,-0.0053836748556549295
8,SmellsLikeTeenSpirit,other,0,772.2319222237827,-0.03456729934212581
9,IfYouWantMeToStay,bass,0,1211.7371548195974,0.016199576669443022
10,MiseryBusiness,other,0,251.70162875292056,-0.00019045313528250432
11,FairiesWearBoots,other,0,1767.5643592051208,-0.011418063133793017
12,Paranoid,other,0,486.9354510739543,-0.004937574101466785
13,Rooster,other,0,1439.4660278980746,-0.0024433590336175263
14,ICouldHaveLied,other,0,423.4800060224864,-0.0009436678514348416
15,OutOfTheBlack,bass,0,450.5230621692409,-0.00972168832287726
16,WhenIComeAround,bass,0,1290.9960545258664,-0.026700686106346485
17,yyz,bass,0,900.7962785981035,-0.0006776373695460835
18,WetSand,bass,0,804.3239233593514,-0.0004743150261119222
19,ByTheWay,bass,0,627.7648434672943,-0.02779716713171041
20,DontCry,other,0,563.9312645832892,-0.009213567440898754
21,BasketCase,other,0,193.61153594144758,-0.007540716999050334
22,tangerine,other,0,576.6080747508278,-0.008766898072857375
23,HotForTeacher,other,0,613.5846231397499,0.027213471746771477
24,vanhalen,other,0,711.0620532574472,-0.0016592023172905526
25,DaniCalifornia,bass,0,1524.134882186154,0.03516921704965492
26,IslandInTheSun,other,0,718.4290707442046,-0.00011502654421452377
27,UnderTheBridge,bass,0,1003.8159130651146,-0.0029146075732211798
28,Anesthesia,other,0,1083.2049017893037,0.007143368537105135
29,LookYourBack,bass,0,1617.8628750224757,0.008672033730526992
30,StairwayToHeaven,other,0,2024.3110549688329,-0.01272053850802904
